chapter_first_level;chapter_second_level;chapter_third_level;text
6. Инвестиции для начинающих инвесторов;6.3. ФИНАНСОВыЕ ПОСРЕДНИКИ И ИНФРАСТР уКТуРА ФИНАНСОВОГО Р ыНКА;6.3.1. ОСНОВНЫЕ УЧАСТНИКИ ФИНАНСОВОГО РЫНКА;"Основными действующими лицами на финансовом рынке являются: • инвесторы; • эмитенты; • инфраструктурные организации; • инвестиционные посредники. Эмитентами облигаций могут быть как компании (юридические лица), так и государство. Акции же выпускают только компании, созданные в форме акционерных обществ, причем на бирже обращаются акции лишь публичных акционерных обществ (ПАО). У производных финансовых инструментов эмитентов нет — они являются двусторонними контрактами, которые могут заключать между собой любые участники рынка. Инвесторами могут быть частные лица и компании любой формы собственности. Например, если вы решитесь купить облигации, то станете инвестором. Если ООО «Ромашка» вложит свои средства в акции какого-нибудь ПАО, то ООО «Ромашка» тоже станет инвестором. К инвестиционным посредникам (в экономическом смысле) относятся брокеры, дилеры, доверительные управляющие, форекс-дилеры, а также, с некоторыми оговорками, инвестиционные советники. Существует два типа фондового рынка: биржевой и внебиржевой. На них могут совершаться примерно одни и те же операции, но для частного инвестора биржевой рынок явно удобнее, так как на нем всё предельно стандартизировано для увеличения скорости совершения сделок с активами, а также максимально просто и надежно устроены расчеты. На внебиржевом рынке инвестору или его брокеру придется самостоятельно искать контрагента, вести переговоры с ним, заключать договор, проводить расчеты. Поэтому дальнейшее изложение предполагает, что частный инвестор использует биржевой рынок. Поскольку акции и облигации сегодня имеют бездокументарную форму, важную роль в функционировании рынка ценных бумаг играют так называемые учетные организации. Это депозитарии, по договорам с инвесторами открывающие им счета депо, на которых делаются записи о количестве имеющихся у владельца счета ценных бумаг, и регистраторы — они ведут учет акционеров акционерного общества на основании договоров с эмитентами и открывают акционерам лицевые счета, составляют список акционеров, имеющих право на участие в собрании акционеров, на полу264 ФИНАНСОВАЯ ГРАМОТНОСТЬ чение дивидендов1. Депозитарии и регистраторы дают возможность хранить бездокументарные ценные бумаги, установить их владельца, реализовать права, удостоверенные ценными бумагами, купить или продать их. Для частного инвестора существуют три основных способа осуществлять инвестиции: открыть брокерский счет, передать средства в доверительное управление профессионалам либо самостоятельно осуществлять какие-то сделки с другими частными лицами без помощи посредников. Последний вариант лучше не использовать в силу высокой вероятности мошенничества недобросовестных лиц и компаний, поэтому далее мы его не рассматриваем."
6. Инвестиции для начинающих инвесторов;6.3. ФИНАНСОВыЕ ПОСРЕДНИКИ И ИНФРАСТР уКТуРА ФИНАНСОВОГО Р ыНКА;6.3.2. КВАЛИФИЦИРОВАННЫЕ;"Закон «О рынке ценных бумаг» вводит деление всех инвесторов, как граждан, так и юридических лиц, на две категории — квалифицированные и неквалифицированные инвесторы 2. Новое регулирование по этим вопросам вступило в силу с 1 октября 2021 г. Квалифицированные инвесторы обладают бóльшими опытом, знаниями или капиталом, чем неквалифицированные, и потому имеют возможность совершать широкий круг операций на финансовом рынке, в том числе достаточно рискованных. Неквалифицированные инвесторы нуждаются в высокой степени защиты от риска, поэтому для них без ограничений доступен более узкий круг финансовых инструментов и операций. Гражданина может по его заявлению признать квалифицированным инвестором брокер или управляющий, если этот гражданин соответствует хотя бы одному из пяти указанных требований: • общая стоимость ценных бумаг, которыми владеет гражданин, и (или) общий размер обязательств из договоров, являющихся ПФИ и заключенных за его счет, соответствуют требованиям, установленным нормативными актами Банка России; • он имеет опыт работы по совершению сделок с финансовыми инструментами, подготовке индивидуальных инвестиционных рекомендаций, управлению рисками, связан1 По облигациям реестр владельцев обычно не ведется, а функции, аналогичные функциям регистратора, выполняет депозитарий, осуществляющий централизованный учет прав на облигации по договору с эмитентом. 2 См. ст. 51.2 Федерального закона от 22 апреля 1996 г. № 39-ФЗ «О рынке ценных бумаг». ГЛАВА 6. ИНВЕСТИЦИИ ДЛЯ НАЧИНАЮЩИХ ИНВЕСТОРОВ"
6. Инвестиции для начинающих инвесторов;6.3. ФИНАНСОВыЕ ПОСРЕДНИКИ И ИНФРАСТР уКТуРА ФИНАНСОВОГО Р ыНКА;6.3.3. БРОКЕР И ДОВЕРИТЕЛЬНЫЙ УПРАВЛЯЮЩИЙ;Брокер — профессиональный участник рынка ценных бумаг, который по поручению клиента и за его счет совершает сделки с ценными бумагами и заключает договоры, являющиеся производными финансовыми инструментами, на основании возмездных договоров с клиентом. Доверительный управляющий — профессиональный участник рынка ценных бумаг, осуществляющий доверительное управление ценными бумагами и денежными средствами, предназначенными для совершения сделок с ценными бумагами и заключения договоров, являющихся производными финансовыми инструментами, на основании договора доверительного управления. 268 ФИНАНСОВАЯ ГРАМОТНОСТЬ Брокерская деятельность и деятельность доверительных управляющих является лицензируемой, соответствующие лицензии выдаются Банком России. На сайте Банка России1 есть актуальный список компаний, имеющих брокерскую лицензию и/или лицензию доверительных управляющих. Это означает, что компания соответствует требованиям, перечисленным в Законе «О рынке ценных бумаг», и на текущий день имеет право заключать договоры на обслуживание. Если компании нет в этом перечне, то с ней не стоит заключать договор, каким бы выгодным он ни казался. В случае обмана или неисполнения ею обязательств будет нелегко компенсировать потери даже через суд. Таким образом, у инвестора, приступающего к работе на фондовом рынке, есть выбор (рис. 6.4): торговать через брокера или передать деньги в доверительное управление. РИСУНОК 6.4 Торговля через брокера и через доверительного управляющего Разница заключается в том, что при работе через брокера инвестор сам совершает сделки с помощью программного обеспечения брокера через его биржевой шлюз на доступных ему секциях 1 Ознакомиться с перечнем профессиональных участников рынка ценных бумаг — брокеров и доверительных управляющих, которые имеют лицензию Банка России, можно на сайте Банк а России в разделе «Документы и данные» / «Реестры» (https://www.cbr.ru/registries/). ГЛАВА 6. ИНВЕСТИЦИИ ДЛЯ НАЧИНАЮЩИХ ИНВЕСТОРОВ
6. Инвестиции для начинающих инвесторов;6.3. ФИНАНСОВыЕ ПОСРЕДНИКИ И ИНФРАСТР уКТуРА ФИНАНСОВОГО Р ыНКА;6.3.4. БИРЖА;Биржей называют финансовый институт, обеспечивающий регулярное функционирование организованного рынка ценных бумаг, валюты, товаров (в том числе драгоценных металлов), а также производных финансовых инструментов. Для начинающего непрофессионального инвестора биржевая торговля обычно более удобна, чем внебиржевая, по ряду причин. Во-первых, на бирже больше шансов получить «справедливую» для текущего момента цену при покупке или продаже актива. Вовторых, компании, ценные бумаги которых торгуются на бирже, проходят определенный фильтр (процедура допуска к биржевым торгам именуется листингом). В-третьих, биржа обеспечивает надежное исполнение заключенных сделок благодаря системе клиринга и гарантийного обеспечения. В-четвертых, биржа может предложить своим клиентам дополнительные сервисы, например информационные продукты, включая рыночные данные в режиме реального времени и информацию об итогах торгов. Биржа не заключает договоров с отдельными инвесторами, поэтому, как было отмечено выше, торговать на бирже частный инвестор может только через брокера. Для покупки ценных бумаг на бирже необходимо сначала перечислить на брокерский счет своего брокера некоторую сумму денег, в пределах которой инвестор сможет приобретать ценные бумаги. При этом один брокер может давать своим клиентам доступ на разные торговые площадки. В настоящее время в России для частных инвесторов доступны две биржи: Московская и Санкт-Петербургская. Традиционно СанктПетербургская биржа специализировалась главным образом на акциях зарубежных компаний, однако в 2020 г. Московская Биржа также запустила торги иностранными акциями. При инвестициях в иностранные акции необходимо помнить о дополнительных рисках. Прежде всего, это валютный риск, так как иностранные акции торгуются не в рублях, а курс рубля к валюте торгов может меняться, причем значительно. Получая доход от акций иностранных компаний, вы можете столкнуться с двойным налогообложением или иными юридическими обязательствами — тут лучше получить консультацию брокера или инвестици273 ГЛАВА 6. ИНВЕСТИЦИИ ДЛЯ НАЧИНАЮЩИХ ИНВЕСТОРОВ
6. Инвестиции для начинающих инвесторов;6.3. ФИНАНСОВыЕ ПОСРЕДНИКИ И ИНФРАСТР уКТуРА ФИНАНСОВОГО Р ыНКА;6.3.5. КОЛЛЕКТИВНЫЕ ИНВЕСТИЦИИ;Нередко встречается ситуация, когда инвестор хочет приобрести актив, но стоимость единицы актива настолько высока, что у него не хватает денег. Или он планирует вложиться в недвижимость, но у него только 100 000 руб., на которые недвижимость в России не купишь. Тем более сложно мелкому инвестору сформировать диверсифицированный портфель, состоящий из большого количества разных активов, чтобы снизить свой инвестиционный риск. Для подобных инвесторов была придумана форма коллективного инвестирования — паевой инвестиционный фонд (ПИФ). Федеральный закон от 29 ноября 2001 г. № 156-ФЗ «Об инвестиционных фондах» определяет ПИФ как «обособленный имущественный комплекс, состоящий из имущества, переданного в доверительное управление управляющей компании учредителем (учредителями) доверительного управления с условием объединения этого имущества с имуществом иных учредителей доверительного 274 ФИНАНСОВАЯ ГРАМОТНОСТЬ РИСУНОК 6.5 Биржевой «стакан» управления, и из имущества, полученного в процессе такого управления, доля в праве собственности на которое удостоверяется ценной бумагой, выдаваемой управляющей компанией». Что скрывается за этим сложным определением? Представим себе двух инженеров — Петрова и Васечкина, которые решили выйти на фондовый рынок, так как, после того как каждый из них начал вести личный бюджет, у них появились свободные деньги для инвестирования. У них слишком мало для этого средств (у Петрова 45 000 руб., а у Васечкина 55 000 руб.), и они решили сформировать ГЛАВА 6. ИНВЕСТИЦИИ ДЛЯ НАЧИНАЮЩИХ ИНВЕСТОРОВ
6. Инвестиции для начинающих инвесторов;6.3. ФИНАНСОВыЕ ПОСРЕДНИКИ И ИНФРАСТР уКТуРА ФИНАНСОВОГО Р ыНКА;6.3.6. ИНВЕСТИЦИОННЫЕ СОВЕТНИКИ;"С конца 2018 г. на финансовом рынке появился новый вид профессиональных участников — инвестиционные советники. Их функция — консультировать как граждан, так и юридических лиц по вопросам инвестирования. Советники должны действовать добросовестно, разумно и в интересах своих клиентов. Использование услуг инвестиционных советников позволит неквалифицированным инвесторам вкладывать свои средства в сложные виды активов. Консультации должны сопровождаться заключением договора и определением инвестиционного профиля клиента. Под инвестиционным профилем понимается следующая информация: 278 ФИНАНСОВАЯ ГРАМОТНОСТЬ • о доходности от операций с финансовыми инструментами, на которую рассчитывает клиент; • о периоде времени, за который определяется такая доходность; • о допустимом для клиента риске убытков от таких операций, если клиент не является квалифицированным инвестором. На основе сформированного профиля инвестиционный советник готовит индивидуальную инвестиционную рекомендацию, но следовать ей или нет — решает сам клиент. В этом принципиальное отличие от доверительного управления. Индивидуальная инвестиционная рекомендация должна включать в себя описание ценной бумаги и планируемой с ней сделки или производного финансового инструмента, в отношении которых дается эта рекомендация, анализ рисков, связанных с соответствующими ценной бумагой или финансовым инструментом, а также указание на то, имеется ли у инвестиционного советника конфликт интересов. И хотя в договоре прописываются целевые установки по доходности и риску, но отсутствует обязательство советника по достижению доходности (этого никто не может гарантировать), зато есть требование не превышать степень риска, приемлемую для клиента. К инвестиционным советникам имеет смысл обращаться тем инвесторам, у которых недостаточно знаний и нет возможности или желания самостоятельно разобраться в устройстве финансового рынка и сути финансовых операций. Заключив один договор, инвестор получает столько консультаций, сколько ему необходимо, у него может быть несколько договоров с разными инвестиционными советниками. Однако за каждую консультацию придется заплатить, и чем сложнее состав консультации, тем больше плата за нее. Для ознакомления с реестром инвестиционных советников вы можете использовать официальный сайт Банка России. Только указанные в этом реестре специалисты несут ответственность перед клиентом, работа с иными советниками (или теми, кто себя так именует) грозит риском потери средств и времени на судебные разбирательства. Если клиент является неквалифицированным инвестором, то инвестиционный советник должен проинформировать его о тех ограничениях в приобретении ценных бумаг и иных финансовых инструментов, а также в совершении определенных операций, которые связаны с его статусом. ГЛАВА 6. ИНВЕСТИЦИИ ДЛЯ НАЧИНАЮЩИХ ИНВЕСТОРОВ"
6. Инвестиции для начинающих инвесторов;6.3. ФИНАНСОВыЕ ПОСРЕДНИКИ И ИНФРАСТР уКТуРА ФИНАНСОВОГО Р ыНКА;6.3.7. РЕГУЛИРОВАНИЕ ФИНАНСОВЫХ РЫНКОВ;"В регулировании финансовых рынков можно выделить следующие направления: • установление обязательных требований к деятельности профессиональных участников рынка и ее стандартов; • государственная регистрация выпусков эмиссионных ценных бумаг и контроль за соблюдением эмитентами условий и обязательств, предусмотренных в них; • лицензирование деятельности профессиональных участников рынка; • создание систем защиты прав владельцев финансовых инструментов и контроля за соблюдением их прав эмитентами и профессиональными участниками рынка; • запрет и пресечение неправомерной и нелицензированной деятельности. Так описываются основы регулирования рынка в Законе «О рынке ценных бумаг». Государство устанавливает правила игры на рынке и следит за их выполнением всеми участниками: инвесторами, эмитентами и т. д. Главным органом в регулировании финансовых рынков является Банк России, функции, права и обязанности которого установлены Федеральным законом от 10 июля 2002 г. № 86-ФЗ «О Центральном банке Российской Федерации (Банке России)» и рядом других законов. Банк России вправе устанавливать нормативы для профессиональных участников рынка, выдавать и отзывать лицензии, назначать временных управляющих в проблемные компании, взаимодействовать с правоохранительными органами, подавать в суд о признании компании банкротом, устанавливать требования к выпускам и видам ценных бумаг. Важным институтом в регулировании финансового рынка являются саморегулируемые организации. Все финансовые организации, за исключением банков и других кредитных организаций, обязаны быть членами той или иной СРО. В едином реестре СРО в сфере финансового рынка по состоянию на 31 июля 2020 г. на сайте Банка России числится 18 саморегулируемых организаций, объединяющих финансовые организации по отраслевому принципу: СРО микрофинансовых организаций, СРО страховых организаций, СРО брокеров, СРО управляющих компаний, СРО негосударственных пенсионных фондов и т. д. СРО разрабатывают стандарты и правила предпринимательской или профессиональной деятельности, обязательные для выполнения всеми их членами, а также контролируют соблюдение законодательства и своих стандартов. 280 ФИНАНСОВАЯ ГРАМОТНОСТЬ"
6. Инвестиции для начинающих инвесторов;6.4. Правила начинающего;6.4.1. ВЫБОР АКТИВОВ И ОПРЕДЕЛЕНИЕ;При выборе объекта инвестирования необходимо стремиться к тому, чтобы в вашем инвестиционном портфеле оказались активы, которые будут расти в цене (или давать неплохие промежуточные выплаты). Как их найти? Увы, никто не знает абсолютно точно, как будет вести себя цена активов. Логику изменения цены одних активов можно более или менее понять, а поведение других сродни рулетке, нельзя угадать наверняка. Если у вас достаточно свободного времени, упорства и уверенности в себе, вы можете постараться изучить всю доступную вам информацию о фондовом рынке, для того чтобы сформировать свое мнение и принимать решения самостоятельно, не следуя ничьим советам. И наоборот, если у вас нет времени или не хочется думать, выбирайте один источник информации (брокера, инвестиционного советника) и следуйте его рекомендациям либо просто передайте свои средства в доверительное управление. Выбор за вами. Допустим, вы хотите самостоятельно решать, что и как делать, но не имеете профильного образования или знаний. В таком случае необходимо следовать принципам, которые нашли свое подтверждение на рынке уже давно. Первый принцип — не вкладывать средства в компании, которые не понимаешь. Джереми Миллер в своей книге «Правила инвестирования Уоррена Баффета»1 именно так характеризует секрет 1 См.: Миллер Дж. Правила инвестирования Уоррена Баффета. М.: Альпина Паблишер, 2021. ГЛАВА 6. ИНВЕСТИЦИИ ДЛЯ НАЧИНАЮЩИХ ИНВЕСТОРОВ
6. Инвестиции для начинающих инвесторов;6.4. ПРАВИЛА НАЧИНАЮЩЕГО ИНВЕСТОРА;6.4.2. ИИС: СЧЕТ С ОСОБЫМ СТАТУСОМ;С 2015 г. в Российской Федерации в законе появилось понятие индивидуального инвестиционного счета (ИИС). Этот инструмент оказался удобным, чтобы освоить сразу несколько полезных в финансовом плане навыков: регулярно откладывать деньги, торговать на финансовом рынке, получать налоговые вычеты. Особенности ИИС Определение ИИС Индивидуальный инвестиционный счет — это счет у брокера или у доверительного управляющего, на который распространяется дополнительная налоговая льгота: налоговый вычет либо на внесенные на ИИС средства, либо на полученный финансовый доход от операций, проведенных в рамках ИИС. ГЛАВА 6. ИНВЕСТИЦИИ ДЛЯ НАЧИНАЮЩИХ ИНВЕСТОРОВ
6. Инвестиции для начинающих инвесторов;6.4. ПРАВИЛА НАЧИНАЮЩЕГО ИНВЕСТОРА;6.4.3. МЕХАНИЗМ ИСПОЛЬЗОВАНИЯ ИИС;Чтобы продемонстрировать выгодность ИИС, приведем несколько примеров расчета доходности. В целях их упрощения не учитываем расходы на комиссии за совершение сделок на бирже и хранение ценных бумаг в депозитарии. Каждый из трех братьев Ивановых: Сергей, Андрей и Владимир — открыл ИИС и через три года закрыл его. Будем считать, что они не приобретали ценных бумаг на внесенные средства и использовали налоговый вычет первого типа (вычет на взнос). При этом Владимир внес деньги только в первый год, Андрей — в первый и во второй, а Сергей вносил средства каждый год. Все взносы были максимально возможные для данного вычета, т. е. 400 000 руб., и делали их в начале года, а налоговый вычет получали сразу, без временного лага в три месяца. Для удобства сведем все данные в таблицу 6.3. ТАБЛИЦА 6.3 Пример результативности ИИС (три случая): вычет первого типа 2015 г. 2016 г. 2017 г. 2018 г. Доходность Денежные потоки, вызванные внесением – 400 000 руб. 52 000 руб. 400 000 руб. Владимиром средств на ИИС в 2015 г. Владимир –400 000 52 000 0,00 400 000 4,53 % ГЛАВА 6. ИНВЕСТИЦИИ ДЛЯ НАЧИНАЮЩИХ ИНВЕСТОРОВ
6. Инвестиции для начинающих инвесторов;6.4. ПРАВИЛА НАЧИНАЮЩЕГО ИНВЕСТОРА;6.4.4. МЕХАНИЗМ ИСПОЛЬЗОВАНИЯ ИИС;Теперь рассмотрим результаты трех других инвесторов — сестер Фоминых: Елены, Елизаветы и Екатерины, которые выбрали налоговый вычет второго типа. Они вносили на свои счета по 1 млн руб., на которые покупали акции (Елена — в 2015 г., Елизавета — в 2015 и 2016 гг., Екатерина — в 2015, 2016, 2017 гг.). Их портфели с 2015 по 2016 г. упали на 2 %, с 2016 по 2017 г. выросли на 12 %, с 2017 по 2018 г. выросли на 15 % (допустим, что дивиденды по акциям не выплачивались). Результаты приведены в таблице 6.5. ТАБЛИЦА 6.5 Пример результативности ИИС: вычет второго типа 2015 г. 2016 г. 2017 г. 2018 г. Доходность Денежные потоки, вызванные внесением – 1 000 000 1 339 520 Еленой средств на ИИС в 2015 г. Елена – 1 000 000 1 339 520 10,23 % Денежные потоки, вызванные внесением – 1 000 000 1 339 520 Елизаветой средств на ИИС в 2015 г. Денежные потоки, вызванные внесением – 1 000 000 1 288 000 Елизаветой средств на ИИС в 2016 г. Елизавета – 1 000 000 – 1 000 000 2 627 520 11,47 % Денежные потоки, вызванные внесением – 1 000 000 1 339 520 Екатериной средств на ИИС в 2015 г. Денежные потоки, вызванные внесением – 1 000 000 1 288 000 Екатериной средств на ИИС в 2016 г. Денежные потоки, вызванные внесением – 1 000 000 1 150 000 Екатериной средств на ИИС в 2017 г. Екатерина – 1 000 000 – 1 000 000 – 1 000 000 3 777 520 11,97 % Если сравнивать результаты сестер Фоминых и братьев Ивановых в случае, когда они покупали облигации, то видно, что доходность примерно одинакова, однако помните, что у сестер в первый ГЛАВА 6. ИНВЕСТИЦИИ ДЛЯ НАЧИНАЮЩИХ ИНВЕСТОРОВ
6. Инвестиции для начинающих инвесторов;6.5. Альтернативные;6.5.1. ДРАГОЦЕННЫЕ МЕТАЛЛЫ;Помимо ценных бумаг, которые не у всех вызывают доверие, можно инвестировать в физически осязаемые активы — драгоценные металлы: золото, серебро, платину, палладий. Во времена кризисов, когда котировки ценных бумаг и ставки начинают сильно и непредсказуемо колебаться, стоимость драгоценных металлов, как правило, остается неизменной и даже растет. Таким образом, драгоценные металлы считаются «тихой гаванью», в которой можно переждать любые финансовые бури. Это утверждение в целом верно, хотя здесь есть и свои «но». «Физический» драгоценный металл можно приобрести в двух формах: монет и мерных слитков. Для этого необходимо обратиться в крупные банки, которые занимаются их продажей, при этом будьте готовы к тому, что совершить такую покупку вы сможете не во всех отделениях. Мерные слитки, как правило, имеют весовую градацию в 1, 5, 10, 20, 50, 100, 250, 500 и 1000 г, слитки разных металлов делаются в разной номенклатуре. Для приобретения слитка или монет из драгоценных металлов необходимы паспорт и достаточная сумма денег. Слитки продаются только российского происхождения, тогда как монеты могут быть и иностранных государств. При покупке слитка или монеты они выдаются на руки клиенту вместе с сертификатом, подтверждающим их происхождение и характеристики. Каждый мерный слиток имеет свой собственный уникальный номер, по которому его легко идентифицировать. Монеты из драгоценных металлов иностранных государств банки обратно не выкупают, поэтому продать их можно, лишь сдав в ломбард или перепродав кому-то еще. Российские монеты из драгоценных металлов банки обратно выкупают, но цена зависит от качества монеты. Слитки можно продать обратно банку, причем не обязательно тому, в котором покупали. В каждом банке, который осуществляет такие операции, есть курсы продажи и покупки слитков (табл. 6.6). ТАБЛИЦА 6.6 Фрагмент таблицы с котировками драгоценных металлов Металл/ Цена покупки мерных слитков, руб. за слиток Цена продажи мерных Номинал, Удовлетворительное Отличное слитков, включая НДС, руб. г качество качество Золото Au 1 2547 2567 3720 5 12 735 12 775 17 520 ГЛАВА 6. ИНВЕСТИЦИИ ДЛЯ НАЧИНАЮЩИХ ИНВЕСТОРОВ
6. Инвестиции для начинающих инвесторов;6.5. АЛьТЕРНАТИВНыЕ ИНВЕСТИЦИИ;6.5.2. НЕДВИЖИМОСТЬ;В России инвестиции в недвижимость считаются в народе самыми надежными и выгодными. Но далеко не все понимают, что квартира или загородный дом, в которых человек живет, инвестициями в строгом смысле не являются: ведь они не приносят дохода, а, напротив, требуют затрат на свое содержание. 1 На примере курса металлов Банка ВТБ на 17 сентября 2019 г. URL: https://www.vtb.ru/personal/investicii/obezlichennyj-metallicheskij-schet/. ГЛАВА 6. ИНВЕСТИЦИИ ДЛЯ НАЧИНАЮЩИХ ИНВЕСТОРОВ
6. Инвестиции для начинающих инвесторов;6.5. АЛьТЕРНАТИВНыЕ ИНВЕСТИЦИИ;6.5.3. ВАЛЮТА;Валюта — достаточно волатильный (изменчивый) актив, при изменении ее курса можно заработать, но легко и потерять деньги. Стоит ли рассматривать инвестиции в валюту как способ заработка? К примеру, в начале 2014 г. купить доллары можно было по 33 руб., а в конце того же года продать более чем по 60 руб. Те, кто воспользовался этой ситуацией на рынке, получили прибыль более 80% в рублевом выражении. Но такая возможность предоставляется не каждый день. Напротив, за 2016 г. цена доллара снизилась с 73 руб. до 61 руб., а за 2017 г. — до 58 руб., что принесло владельцам этой валюты убытки в рублевом выражении. Но это при покупке наличной или безналичной валюты непосредственно. А есть еще загадочный рынок Форекс — его реклама обещает отважным инвесторам целые состояния, которые они заработают на колебаниях валютных курсов! Причем, как утверждает реклама, выигрывать можно и при росте, и при падении валюты, главное — сделать правильную ставку! Не слишком ли это похоже на казино или тотализатор на скачках? На самом деле «большой» рынок Форекс (от англ. foreign exchange) — это внебиржевой валютный рынок, где сделки между собой совершают организации — крупные банки, инвестиционные фонды, большие компании, а не обычные люди. А что же тогда предлагают нам рекламные объявления? Услуги форекс-дилеров — профессиональных участников рынка ценных бумаг. Они заключают с клиентами договоры, которые являются производными финансовыми инструментами, на покупку иностранной валюты от своего имени и за свой счет, причем не на организованных торгах. Одна из главных особенностей такой торговли — кредитное плечо, которое предоставляет форекс-дилер. К примеру, на счете клиента 1000 долларов США, при открытии счета он выбрал кредитное плечо 1 : 50. Это означает, что ему доступно заключение сделки на сумму 50 000 долларов. Если клиент поставит на рост курса доллара и тот вырастет за день хотя бы на 0,5 % (около 35 коп.), то выигрыш клиента составит 250 долларов, или 25 % от суммы вложения. Но такое же отклонение курса в «неправильную» сторону означает потерю четверти всех вложений за один день. ГЛАВА 6. ИНВЕСТИЦИИ ДЛЯ НАЧИНАЮЩИХ ИНВЕСТОРОВ
